Questions,course_version,Responses
"In your opinion, what could be improved?",5,I think everything worked well. I have no complaints.
"In your opinion, what could be improved?",4,I think it was a really thorough guide that made it easy to start.
"In your opinion, what could be improved?",4,I think it was good.
"In your opinion, what could be improved?",2,I think it was quite straight and easy to follow.
"In your opinion, what could be improved?",2,I think it's good as it is.
"In your opinion, what could be improved?",5,I think pre-course tasks were easy and straight-forward. No improvement suggestions.
"In your opinion, what could be improved?",5,I thought it was quite well made.
"In your opinion, what could be improved?",2,I thought the pre-course material was more time demanding. Maybe I have missed something.
"In your opinion, what could be improved?",5,I was happy with the current pre-course material.
"In your opinion, what could be improved?",2,"I was unsure whether earlier versions of R could be used (the newest was not available to me as an Region H employed). But got an email answer on that, so all good."
"In your opinion, what could be improved?",4,I'm not sure i have everything installed correct so I don't Know
"In your opinion, what could be improved?",4,"If the pre-course tasks would be sent earlier before the course date, it would be great because it takes almost a day to set all the tasks."
"In your opinion, what could be improved?",5,In my particular case the following line of code throw me an error --->r3::install_packages_introduction().  This was the error:ℹ Building purrr 1.0.1Error:        ! error in pak subprocessCaused by error: ! Could not find tools necessary to compile a packageCall `pkgbuild::check_build_tools(debug = TRUE)` to diagnose the problem.ℹ See `$stderr` for standard error.
"In your opinion, what could be improved?",5,"In Section 4.3 of the pre-reading (Basics of Git), reference is made to a LearningR R project, which should include files. It was unclear to me whether these files had been made available to us or not."
"In your opinion, what could be improved?",2,"In the beginning I had some problems to be able to solve the tasks, because I needed to download Rtools. This was not described in chapter 2, but after some time I managed to solve the problem using the instructions in R."
"In your opinion, what could be improved?",3,"In the star of the material, maybe a short introduction of what we have to complete (e.g. setting up a GitHub account), would be nice to get an overview. But overall, very nice description of the pre-task and why we are doing them."
"In your opinion, what could be improved?",4,Installing the Git and having it in the R studio software
"In your opinion, what could be improved?",2,"it is a problem to install/update certain softwares in the work computer and the helpdesk does not help in such short time. In the end, everything turned out to work, but it took much longer than I predicted to complete the pre-tasks. Since this course is to apply to our work, it would be good to consider and desgn the course to be done in the work computer."
"In your opinion, what could be improved?",2,"It was in the beginning a bit unclear what exercises I should complete and what I should save, and what was done in the course itself (e.g., the group work assignment)."
"In your opinion, what could be improved?",5,It worked great for me the way it is.
"In your opinion, what could be improved?",2,It would be good if the material contains a section of possible errors/mistakes during the preparation
"In your opinion, what could be improved?",5,"It would be good to have more of a walkthrough for the installations and not just links to the websites. Especially during the Git installation there were a lot of different options that one had to go through, and more detailed instructions as to which options would be best for the course were missing. Also, I ran into problems when installing the R3 course package, but was very easily able to solve it (it was probably due to me having had it installed already), so maybe a list of possible errors and easy fixes might be helpful."
"In your opinion, what could be improved?",5,"It would be useful to have more screenshots of the steps when setting Git in RStudio. For example, I cannot find the Git tab in my RStudio and I thought that would create an error when installing the package remotes."
"In your opinion, what could be improved?",3,Knowing if one just fill out the form again given that the course was cancelled the first time
"In your opinion, what could be improved?",2,"List of participants of the course (incl. institutions), maybe shared by email"
"In your opinion, what could be improved?",2,Maybe a phone number that you could call when all he problems comes up instead of an email adresse.
"In your opinion, what could be improved?",3,Maybe have instructions for what to do if you already have R installed and need to update it?
"In your opinion, what could be improved?",2,maybe having more pre-course tasks!
"In your opinion, what could be improved?",5,Maybe just a short welcome video as compliment to the material.
"In your opinion, what could be improved?",4,"Maybe more specifically how to setup Git. It was not immediately evident as to what Homebrew was, versus other avenues,"
"In your opinion, what could be improved?",2,maybe som audio on the small videos could replace some of the text or it could be in addition to the text.
"In your opinion, what could be improved?",3,maybe sometimes a bit shorter
"In your opinion, what could be improved?",4,Maybe you should include more of the Version control with Git in the pre-course material.
"In your opinion, what could be improved?",4,Messages on the console are not always as shown and it left me wondering if it was fine or not. But the final verification suggests everything is fine :)
"In your opinion, what could be improved?",4,"More detailed information about Rtools and how to link Rtools with R in windows. A video would help a lot. Even though I followed the instructions, I am still uncertain whether R and Git runs as it should - a way to check this would be great!"
"In your opinion, what could be improved?",2,NA
"In your opinion, what could be improved?",2,Nil
"In your opinion, what could be improved?",2,No comments. It all worked well
"In your opinion, what could be improved?",2,no suggestion so far
"In your opinion, what could be improved?",2,none
"In your opinion, what could be improved?",4,none
"In your opinion, what could be improved?",4,None
"In your opinion, what could be improved?",4,None
"In your opinion, what could be improved?",3,not much :)
"In your opinion, what could be improved?",3,Not sure yet
"In your opinion, what could be improved?",2,Nothing
"In your opinion, what could be improved?",3,Nothing
"In your opinion, what could be improved?",3,Nothing
"In your opinion, what could be improved?",3,Nothing
"In your opinion, what could be improved?",4,Nothing
"In your opinion, what could be improved?",3,Nothing at this point
"In your opinion, what could be improved?",3,Nothing comes to mind.
"In your opinion, what could be improved?",5,Nothing it comes to my mind.
"In your opinion, what could be improved?",4,Nothing so far
"In your opinion, what could be improved?",3,Nothing specific.
"In your opinion, what could be improved?",2,Nothing that I can think of at this stage.
"In your opinion, what could be improved?",5,Nothing that I can think of right now that would significantly improve things. It worked well as it is for me.
"In your opinion, what could be improved?",5,Nothing to add
"In your opinion, what could be improved?",4,"Nothing, everything went very smoothly"
"In your opinion, what could be improved?",2,nothing:-)
"In your opinion, what could be improved?",5,Overall I really think that this system is working well.
"In your opinion, what could be improved?",4,Perhaps  more links to prepare for the course so it is not overwhelming the first day. I can't really say at this stage.
"In your opinion, what could be improved?",5,"Perhaps more videos, but I think the material is already good."
"In your opinion, what could be improved?",5,Possibly explaining common error messages that could appear when installing packages and github
"In your opinion, what could be improved?",2,Remainders of pre-course tasks
"In your opinion, what could be improved?",3,See above
"In your opinion, what could be improved?",5,Send out the pre-course tasks in good time before Christmas holiday (since the tasks take a while to complete)
"In your opinion, what could be improved?",5,Some linkes were missing (e.g. the one to the cheat-sheet and the internal chapter reference at the end of 3.6:?sec-reproducible-documents.)
"In your opinion, what could be improved?",4,Specific issues in Mac
"In your opinion, what could be improved?",5,"The amount of reading required, in addition to the software installation, can be overwhelming. It is easy to get sidetracked during the installation process and lose focus on the task at hand. To alleviate this, I would appreciate a section with clear, step-by-step instructions on how to install all of the necessary software for the course. Once that is complete, the explanations and readings can be reviewed."
"In your opinion, what could be improved?",2,The code of conduct was very American style and maybe not that relevant in a Danish research setting
"In your opinion, what could be improved?",2,The GIFS were cool but sometimes I couldn't tell where the start point was
"In your opinion, what could be improved?",4,The installation of git was difficult. Maybe could be better explained. Maybe with a video?
"In your opinion, what could be improved?",5,"The Pre-course tasks could be structured a bit more clearly. Now I started googling and installing the programs on my own, since the tasks started with install these programs and it was only later that I realised there were direct links to the sites I needed."
"In your opinion, what could be improved?",5,The use of a video instead of the text might be a timesaver.
"In your opinion, what could be improved?",4,There is a lot of information on the website and in the beginning it was quite overwhelming and difficult to navigate between various tasks and information.
"In your opinion, what could be improved?",4,There was a lot of going back and forth between different links and windows
"In your opinion, what could be improved?",2,"There were a lot of different links, opening a lot of internet tabs. Sometimes it was difficult to figure out where to find what. And for those of us with system administrated computers, we really have no control over the versions of R and Rstudio"
"In your opinion, what could be improved?",5,"Timing of the course: would have been better if it doesn't fall immediately after holidays. Also, and taking into consideration some need to travel for the course, it would have been more convenient if it starts on Tuesday of the week."
"In your opinion, what could be improved?",5,"To avoid the temptation to skip sections, could have you move through the sections one page at a time"
"In your opinion, what could be improved?",4,"When I should install the programme for Git, I was in doubt whether source for downloading the program, I should choose. I was chosen Apple, because I have an apple account. It took long time, but it seems to work."
"In your opinion, what could be improved?",2,You can develop a video to explain the pre-course task
"In your opinion, what worked well?",5,After a couple of problems in the beginning I managed to install everything
"In your opinion, what worked well?",2,All
"In your opinion, what worked well?",3,All in all it was good.
"In your opinion, what worked well?",2,All instructions were simple and easy to apply.
"In your opinion, what worked well?",4,All links worked fine and tasks were easy to follow. I feel I now have the very basic concepts for learning R.
"In your opinion, what worked well?",4,"All the information and set-up. Fantastic materials.  First I was thinking, it was written very detailed, but when you start the process that is perfect!"
"In your opinion, what worked well?",4,All the instructions or commands provided in the pre-course tasks worked well.
"In your opinion, what worked well?",3,all the instructions were easy to follow
"In your opinion, what worked well?",3,All-in-all most of the instructions were good
"In your opinion, what worked well?",2,"At first, i couldn't install the package due to some obscure pc settings. Luckily, my wife is an economist and a data wiz - so she fixed it for me."
"In your opinion, what worked well?",2,"At man får lov til at snuse til kodespriget, grundigt vejledt af GIF´s"
"In your opinion, what worked well?",5,Clear and easy to follow instructions!
"In your opinion, what worked well?",5,Clear instructions and good material for reading and becoming a little bit more clued up on what we'll be using.
"In your opinion, what worked well?",5,Clear outline of the tasks and I like the side menus that gives you an overview of the page content (at different levels). Great with images and videos showing particular steps.
"In your opinion, what worked well?",3,Description of the main tools/ R packages and how to install them
"In your opinion, what worked well?",5,Descriptions and instructions are well designed and clear. They really help to carry out tasks and trigger curiosity for the further learning.
"In your opinion, what worked well?",4,Detailed description on how to interpret the coding. Great videos.
"In your opinion, what worked well?",4,Downloading the softwares
"In your opinion, what worked well?",5,easy to follow along
"In your opinion, what worked well?",5,Easy to follow the instructions
"In your opinion, what worked well?",2,embedded links step-by-step instructions
"In your opinion, what worked well?",4,everything
"In your opinion, what worked well?",5,Everything is very nicely structured
"In your opinion, what worked well?",5,"Everything is well explained with some videos, then we can do the pre-course task without any problem."
"In your opinion, what worked well?",2,Everything looked god and I am looking forward
"In your opinion, what worked well?",4,Everything so far :)
"In your opinion, what worked well?",4,Everything was fairly smooth.
"In your opinion, what worked well?",3,Everything was very nicely explained.
"In your opinion, what worked well?",4,"Everything worked in my hands, I have no suggestions"
"In your opinion, what worked well?",2,Everything worked well.
"In your opinion, what worked well?",5,"Everything, I found the tasks very well organized and clearly explained with enough theory and background as well as practical parts"
"In your opinion, what worked well?",4,For this type of a course it is necessary to get started with the setup before the course. The basic explanations worked well in general.
"In your opinion, what worked well?",3,Good instructions to get started and prepare for the course.
"In your opinion, what worked well?",5,Good introduction to the course. I like the fact that one needed to download everything before the course start.
"In your opinion, what worked well?",2,"Good text descriptions and nice that the codes are included so it can be copy-pasted into R-studio. Good idea to let everyone see what and how to install necessary programs before the course, so we don't spend time on this in the actual course."
"In your opinion, what worked well?",2,"good to get familiar with Rstudio, with the gifs"
"In your opinion, what worked well?",4,Having all the links and code lines ready
"In your opinion, what worked well?",5,How to download the necessary packages was clearly explained and easy to follow.
"In your opinion, what worked well?",3,How to videos
"In your opinion, what worked well?",4,"I feel assured that all the programmes I need for the course is properly set up on my computer, and I got a good understanding of the function of the different programmes."
"In your opinion, what worked well?",4,I have never tried any pre-course preparation that worked that well. It provided me with an important overview of the course aims and content (and helped me with installation).
"In your opinion, what worked well?",5,I installed everything quite smoothly
"In your opinion, what worked well?",3,"I liked it, but the colors and the output was not the same as on my screen. Furthermore, when pressing the links, a new window should be open in stead of replacing the existing sheet."
"In your opinion, what worked well?",3,"I liked the overall set-up of the pre-course tasks and the instructions given. In conclusion, I think it worked very well."
"In your opinion, what worked well?",5,I really think it is perfect!
"In your opinion, what worked well?",2,"I succeeded to install all programs, even though we have some problems with administrator rights in the RegionH. It is great to have the gifs with the screenshots. It is also very convenient to have the webpage with the entire program available beforehand. My colleage enquired about the administrative/ R version issues and that was immediately taken up on the webpage."
"In your opinion, what worked well?",5,I think everything was well organized and clearly stated what to do.
"In your opinion, what worked well?",5,I think everything worked well. I have no complaints.
"In your opinion, what worked well?",5,I think it is a really good thing to send the material in advance so people can have a first look and prepare themselves.
"In your opinion, what worked well?",3,"I think it was a great introduction, and I liked the video guides. In addition, it was easy to read and understand"
"In your opinion, what worked well?",5,"I think it was pretty straightforward, though I already had R, RStudio and Git installed, so the parts most liable to go wrong were ones I didn't have issues with. I think it was useful to include the requirement to do some pre-reading on Git - it's a complicated subject, and worth looking over multiple times."
"In your opinion, what worked well?",2,I think it was very easy to follow the instructions when downloading the R packages
"In your opinion, what worked well?",4,I think the installation guide worked really well for getting ready for the course both with R and Git.
"In your opinion, what worked well?",5,"I think the material provided was clear, thorough, and easy to read."
"In your opinion, what worked well?",2,I think the tasks are clearly described and easy to follow
"In your opinion, what worked well?",4,I'm not sure i have everything installed correct so I don't Know
"In your opinion, what worked well?",5,Installation of the programs went smoothly.
"In your opinion, what worked well?",4,instructions were clear and easy to apply
"In your opinion, what worked well?",4,intallation
"In your opinion, what worked well?",2,Interactive GIF images that describe required tasks
"In your opinion, what worked well?",3,It is nice to have all the material gathered in one site. Then it is much easier to find things needed and to make an overview.
"In your opinion, what worked well?",3,"It is nice with a introduction that clearly states what we can expect from the course, what you expect from us etc."
"In your opinion, what worked well?",5,"It overall worked well, I had to upgrade some stuff like my R and RStudio which took some time but it's good now."
"In your opinion, what worked well?",2,"It was a nice guidance with combined gifs, texts, and practical assignments."
"In your opinion, what worked well?",2,It was a very easy-to-follow manual. And I had no trouble downloading GIT although working on a windows computer
"In your opinion, what worked well?",3,"It was good. Not too long, clear instructions. I like that there is a check to ensure I did everything."
"In your opinion, what worked well?",4,It was really easy to follow and understand the tasks and the rules.
"In your opinion, what worked well?",2,It was very easy to understand what to do and follow the instructions in the pre-couse material. The small videos (eg. on to install packages) worked very well.
"In your opinion, what worked well?",5,It worked well
"In your opinion, what worked well?",5,It worked well to install and doing preparatory tasks from the information given in the material.
"In your opinion, what worked well?",3,"It's a nice guidance materials, well structured with many useful links."
"In your opinion, what worked well?",5,"Lovely to have a course that starts with pre-assignments on time! Clear webpage structure, easily understood tasks."
"In your opinion, what worked well?",2,"Most of it - if you have right to install programs on your computer (I have but many of my collegues don't). I have R and Rstudio from our softwareshop at my working place, and the newest versions are not the newest available, but I will keep those i have from our softwareshop."
"In your opinion, what worked well?",5,Most of it worked smoothly for me since I already had most of the programs installed and a GitHub profile already set up.
"In your opinion, what worked well?",4,My mind was blown my the amount of work and effort that has been put into this material. I have never seen anything similar. It could not be more perfect!
"In your opinion, what worked well?",3,Nice detailed installation instructions!
"In your opinion, what worked well?",2,"No problems, but took some time to understand and implement"
"In your opinion, what worked well?",2,Overall chapter 2 is very pedagogical and it is easy to overlook the text.
"In your opinion, what worked well?",3,pre-course tasks
"In your opinion, what worked well?",4,"Setting up RStudio and Git is a prerequisite for the course, and you made sure that everyone did that right. I found the introduction to Git very useful."
"In your opinion, what worked well?",3,"Step-by-step, easy to follow."
"In your opinion, what worked well?",3,Structured step-by-step guide with clear and concise instructions
"In your opinion, what worked well?",5,text explanations supported by figures and videos
"In your opinion, what worked well?",4,"That everyone has all the programs updated before starting the course, that the purpose of the course is clear, that what is not covered is also clear."
"In your opinion, what worked well?",3,That you explained along theway why you had to do the different steps. I.e. that you use :: to load part of packages
"In your opinion, what worked well?",2,The course seems well thought out. It definitely helps to know the softwares (especially the versions) required for the course and ensuring that they are preinstalled before we start the course.
"In your opinion, what worked well?",2,"the description and figures to intall and set up R, Rstudio and Git"
"In your opinion, what worked well?",3,The example videos were great and pictorial guides in reference to 4 panels.
"In your opinion, what worked well?",4,The exposition of the pre-course tasks was very detailed and applicable.
"In your opinion, what worked well?",2,The gifs / movies that show how to install certain things.
"In your opinion, what worked well?",2,The GIFs were a great way to ensure I was on the right track.
"In your opinion, what worked well?",2,The GIFs worked very well. Easy overview.
"In your opinion, what worked well?",2,The installation explanation with codes that you could copy to clipboard.
"In your opinion, what worked well?",5,"The installation of most programs went smooth (private computer), detailed manual of pre-corse tasks"
"In your opinion, what worked well?",4,"The installation process worked well, and the introduction provided useful information."
"In your opinion, what worked well?",2,"The instruction is very clear and easy understanding, it is also user friendly with examples and gif."
"In your opinion, what worked well?",3,The instructions about how to install the programs and the videos from Rstudio were good.
"In your opinion, what worked well?",2,The instructions are clear
"In your opinion, what worked well?",2,"The instructions of the exercises were clear, and the videos clarified the details"
"In your opinion, what worked well?",5,The instructions to set up R and Rstudio were clear and easy to follow.
"In your opinion, what worked well?",2,"The instructions were all clear and I particularly liked the gifs for added help. All the links in the instructions were also very helpful, making the process smooth."
"In your opinion, what worked well?",5,The instructions were easy to follow
"In your opinion, what worked well?",3,"The instructions were great. The instructions video and copy paste functions was a nice touch. Also, the introduction to the R world was very fine. Overall, the task was easy and informative, I feel suited for the course."
"In your opinion, what worked well?",3,The instructions were very clear on how to download the program
"In your opinion, what worked well?",3,the interactive nature of the introduction
"In your opinion, what worked well?",2,The material for the pre-course is easy to follow
"In your opinion, what worked well?",5,The material itself is interesting
"In your opinion, what worked well?",5,The material so far is easy to read.
"In your opinion, what worked well?",5,The material was very clear and easy to follow.
"In your opinion, what worked well?",4,The pre-course material was easy to follow and the video links were very helpful.  Useful links and reading material were provided which one can go over on their own pace to let it sink in.
"In your opinion, what worked well?",5,The pre-course task guide was very well explained. I learned some basic concepts and it also saves a lot of time to install all we need before the course.
"In your opinion, what worked well?",4,The pre-course task was organized very well. It was mostly very easy to get through.
"In your opinion, what worked well?",5,The step-by-step instructions are good.
"In your opinion, what worked well?",5,The tasks are clear and well structured.
"In your opinion, what worked well?",4,The tasks were well described and will save us valuable time during the course
"In your opinion, what worked well?",4,The videos and material are very informative.
"In your opinion, what worked well?",3,The videos made it easy to install the different things
"In your opinion, what worked well?",5,The videos showing how to install the packages. The interface of the website.
"In your opinion, what worked well?",2,"The web-page is very well written.  However, I could not download the latest version of R. I have asked the administrators to make the latest version available but it takes several weeks to do so... I also had problems with the initial task because my computer did not have Rtools but that was solved. I hope the course will be possible even though it is not the latest version..."
"In your opinion, what worked well?",5,"The well-structured tutorial, the interesting introduction, and the clear description for the software and their functions!"
"In your opinion, what worked well?",4,The workflow was very well organised and helped me to follow the instructions easily.
"In your opinion, what worked well?",5,There is clear expalnation and pictures
"In your opinion, what worked well?",5,There's a lot of information and steps are easy to follow.
"In your opinion, what worked well?",5,"To be truthfull, that was the most comprehensive instructions I have ever received for a course or similar event. Instructions were clear, especially with examples and additional explanations."
"In your opinion, what worked well?",2,very clear and straightforward
"In your opinion, what worked well?",2,Very detailed and thorough walk through of the installations and course outline
"In your opinion, what worked well?",2,"Very pedagogical language, easy to understand"
"In your opinion, what worked well?",5,Very simple explanations about everything such as what is R and R studio helped me to diminish my fears about this almost completely new area. I really felt that I am in the correct place to learn something decently. The Internet is an unlimited source to learn any information but you need to be wise enough to choose the right information to learn. The syllabus told me that I can fully trust on this course.
"In your opinion, what worked well?",4,Very well explained descriptions of how to do the tasks. The videos are very useful when participants are not acquainted with R before the course.
"In your opinion, what worked well?",3,"Videos, screen shots and copy-codes"
"In your opinion, what worked well?",3,Worked fine
"In your opinion, what worked well?",4,Yes
"In your opinion, what worked well?",2,"yes, it work well but have a little trouble with Git"
Why do you want to attend this course?,2,"1. I would like to be able to calculate time in range, time in hypo and time in hyper in the continuos glucose monitoring measurements that I have collected in my clinical study.2. I want to learn a code on how to find a certain time in an excel column or row and calculate for exampel time in range for that certain time-period.  3. I also want to learn simple statistics like mean etc...4. I want enough knowledge to be able to correctly ask about codes/commands in a R-chat group. (Show where to go to get help and to continue learning modern data analysis skills.)5. I absolutely want to learn *the fundamental tools and skills for conducting a reproducible and modern analysis for a research project.*"
Why do you want to attend this course?,4,1) Learn R coding and learn to produce nice looking figures in R. 2) Learn Github and be inspired to change how I handle document versions.
Why do you want to attend this course?,2,"Basic analytical skills performed in R, data visualization, and reproductive research."
Why do you want to attend this course?,2,"Basic knowledge about and skills in R. To be able to do basic analyses af data in R on my own, and have a overview of the different functions in R."
Why do you want to attend this course?,2,Basic programming in R
Why do you want to attend this course?,3,Be more experience in R and get to know more functions.
Why do you want to attend this course?,4,Become more confident in R and to learn more about effective project management
Why do you want to attend this course?,4,data analysis using R
Why do you want to attend this course?,2,"data analysis, visualization of omics data. Be familiar with Github and the resources."
Why do you want to attend this course?,2,"Do diffirent kind of analysis and save the log-file and results in various formats (datasets, excel, word, figures)"
Why do you want to attend this course?,2,Doing data preparation in R and getting a better understanding of how R works
Why do you want to attend this course?,2,Fundamental tools and skills for conducting analyses for a research project with use of R.
Why do you want to attend this course?,3,"Get a better understanding of R, so I can start writing code myself and use R more for my studies"
Why do you want to attend this course?,2,"How can I use R in my data analysis? I am doing transcriptomics, but through our bioinformation, I like to be able to do or understand myself"
Why do you want to attend this course?,3,"how to be more systematic about data management, including knowledge about new packages and functions"
Why do you want to attend this course?,3,How to operate R and code in R and use the functionality of the R packages
Why do you want to attend this course?,3,How to set up and work with data in a more reproducible way. I would like to transfer my data analysis from SPSS to R(studio) as I see more options here.
Why do you want to attend this course?,3,how to use R
Why do you want to attend this course?,3,How to use R for data analysis. I would like to use R to analyse and visualize my data.
Why do you want to attend this course?,3,How to use R in data analyses.
Why do you want to attend this course?,5,"I am experienced in using SPSS and Excel for data analysis, but have not yet had the opportunity to work with code-based programs. I am interested in learning R, as it is widely used among researchers for creating visually appealing graphs and performing quick data analysis."
Why do you want to attend this course?,4,I am interesting in learning advanced methods in managing my data and learn how to perform reproducible data analysis
Why do you want to attend this course?,4,I believe that this course will be a good start point to learn how to properly handle with my own mass spectrometry data
Why do you want to attend this course?,2,"I expect R to less of a mystery. I have worked very little with R, but it involved following a script from a colleague. Although I completely trust my colleague, I would like to be able to trouble-shot myself when necessary and to discuss the script and the analysis we're doing while also being capable of using R independently in my future data analysis"
Why do you want to attend this course?,3,"I expect to be able to know how to do reproducible research using R, the basics of how to use R (and how to do it in wise way with markdowns etc)."
Why do you want to attend this course?,2,I expect to be able to run simple to more advanced analysis after the course and that the course will increase my skills and interest for statistical computing
Why do you want to attend this course?,3,I expect to get a better understanding of how R works and how to use R. I will use this to get a better work flow when working with my data.
Why do you want to attend this course?,2,"I expect to get a good introduction and basic skills in R, and to be inspired to conduct my future analysis and research in the programme."
Why do you want to attend this course?,2,"I expect to get familiar with methods for data management and analyses in R, and I hope to be able to use these in my work when the course is over."
Why do you want to attend this course?,2,I expect to get more familiar with R and get information on how to use R in a way where  analyses will be more reproducible
Why do you want to attend this course?,3,I expect to getting to know R. I hope to get so familiar with R that I can use it for my postdoc studies.
Why do you want to attend this course?,2,"I expect to learn a little more about how to use R in a good way, in order to do reproducible data analysis"
Why do you want to attend this course?,2,I expect to learn basics in how to program in R to analyse data from my PhD project
Why do you want to attend this course?,2,I expect to learn coding basics and also the work flows. I hope to process and analyze my own RNAseq data and and also available RNAseq and gene expression array datasets in public databases.
Why do you want to attend this course?,3,"I expect to learn how to improve the way of data analysis and how to make it reproducible, learn about standards in the field. I expect to apply obtained knowledge for the analysis of data in my PhD project and to make proper reports and publications."
Why do you want to attend this course?,3,I expect to learn how to use R so I can apply it for my MS analysis data during by PhD project.
Why do you want to attend this course?,3,"I have been using R on and off duringthe last years, but haven't really felt that I understood  the basics - this I hope to get a better understanding of atthis course, to make me feel more confident that I am doing Things rihgt when using R, and to improve my ability to troubleshoot."
Why do you want to attend this course?,2,"I have never used tidyverse, so I would like to learn it. I would like to use R more effectively and efficiently for my analysis."
Why do you want to attend this course?,3,"I have used R on a few occasion, but only scripts prepared by others. I would like to get an insight to R to understand but also validate the scrips I have been using and to be able to do (at least some of) the trouble shooting my self"
Why do you want to attend this course?,2,I hope to be able to do EWAS (epigenome-wide association studies) on my own - without being totally dependent on bioinformations:-)
Why do you want to attend this course?,2,I hope to get an understanding how R works and how I can use it in my project. I hope that I will understand the basics and know where I can learn more about it later.
Why do you want to attend this course?,2,"I hope to learn what is R, what can it do and how can it be used for data analysis and presentation (in my working area)After the course I would like to be able to do some basic analyses with R and understand enough about it, so that I can learn more by myself."
Why do you want to attend this course?,5,I learned to use R by myself out of necessity but have never received any formal training. I would like to improve my way of working (to work cleaner).
Why do you want to attend this course?,5,"I need to deal with a bunch of datasets and excel is nonefficient sometimes, and it is full of repeated work."
Why do you want to attend this course?,4,"I need to learn a statistic program for analysing my data collected in my PhD project. I have been recommended to use R, and I think that is the right way to go."
Why do you want to attend this course?,4,I wan to learn R for to be able to do statistical analysis and for use in my research.
Why do you want to attend this course?,5,"I want do increase mu understanding of R and version control, as well as how to document properly."
Why do you want to attend this course?,5,I want to  improve my use of R skills in order to be faster and more efficient when analyzing my experimental results.
Why do you want to attend this course?,5,"I want to attend this course to be able to learn R from the basics but also to learn how to create good quality figures, to organise my data, and to be able to share a reproducible code from my projects."
Why do you want to attend this course?,4,"I want to be able to analyze and visualize my data in R, in order to be more reproducible and well explained."
Why do you want to attend this course?,3,I want to be comfortable using R for some basic analysis and visualization so I can keep learning and use R for my data analysis on a regular basis. As well understand posting to Github.
Why do you want to attend this course?,4,I want to become better at analyzing my data. Also use some packages and tools that require R knowledge
Why do you want to attend this course?,5,I want to develop skills in data analysis and visualization and I believe that this course is the best place to start.
Why do you want to attend this course?,5,I want to formally learn about the basics in R
Why do you want to attend this course?,5,"I want to get better understanding of how to use R for data analysis and data presentation purposes, to facilitate the work"
Why do you want to attend this course?,4,I want to get familiar with R and be able to use the program for statistical purposes related to my research. I believe that open source is the future and it opens up for many more opportunities than other commercial statistical programs.
Why do you want to attend this course?,5,I want to improve my knowledge of R and expand my toolbox for data analysis.
Why do you want to attend this course?,5,"I want to improve my R skills and learn tools to write clear, organized, and reproducible code."
Why do you want to attend this course?,2,"I want to learn about I can track any changes to my analysis files, and How can I write reports to describe my data analyses in a reproducible way."
Why do you want to attend this course?,4,I want to learn about statistical analysis using R
Why do you want to attend this course?,5,I want to learn how to properly use R for data analysis
Why do you want to attend this course?,4,I want to learn in more detail about analysis and visualization of the data in R.
Why do you want to attend this course?,5,I want to learn more about R and feel comfortable using it in my analysis
Why do you want to attend this course?,5,"I want to learn the basics of programming with R so that I can develop good habits from the beginning in order to have organized, reproducible codes and collaborative and efficient work methods."
Why do you want to attend this course?,4,I want to learn to use R for my research projects.
Why do you want to attend this course?,5,"I want to learn, increase, and update my knowledge to interpret biological data usingcomputational analysis such as R. I want to expand my computational toolbox to tackle complex data sets involving microbiome data sets to help me succeed in my PhD projects."
Why do you want to attend this course?,5,"I want to refresh my previous knowledge in R, get confidence working with git and learn how to do data analysis in a structured way (for my master thesis project and all my future projects)"
Why do you want to attend this course?,5,I will like to attend the course to learn a bit more the basics so I can apply it on my researchr
Why do you want to attend this course?,2,I would like to be familiar with R and to know how to find and use information I need to conduct data analyses in R
Why do you want to attend this course?,5,I would like to be more proficient in using R and doing reproducible research as well as learning to manage better my projects and their different versions.
Why do you want to attend this course?,3,I would like to get started with R to expand my data analysis skills
Why do you want to attend this course?,4,I would like to learn fundamental tools and skills for conducting a reproducible and modern analysis for a research project
Why do you want to attend this course?,3,I would like to learn how to code common analysis like ANOVA. I would also like to learn how to present results on a graph e.g. glucose measurements done multiple times over a few hours.
Why do you want to attend this course?,4,I would like to learn how to make interesting plots
Why do you want to attend this course?,5,I would like to learn how to organise data using the power of R
Why do you want to attend this course?,4,"I would like to learn how to use R, and my primary intention would be to use to analyse RNA-seq data(s)"
Why do you want to attend this course?,2,I would like to learn the basics of data analysis and visualisation with R to work with my proteomics data independently of statistics software.
Why do you want to attend this course?,2,I would like to perform reproducible data analysis in R and produce publication-quality data visualizations.
Why do you want to attend this course?,2,I would like to use R as a default for analysing the data sets I obtain from my work projects
Why do you want to attend this course?,5,I'm attending the course because I've always wanted to learn a little bit more about R/Rstudio but I never had enough time to study in depth
Why do you want to attend this course?,5,"Improve my coding skills in R, since I need R language a lot in my research."
Why do you want to attend this course?,4,Improve my data visualisation skills
Why do you want to attend this course?,4,improve my programing skills
Why do you want to attend this course?,4,improving skils
Why do you want to attend this course?,2,"In general, I am looking to improve my skills in using R to perform statistical analysis. More specifically, I am hoping to learn new skills for managing larger projects using repositories etc. when I am having to collaborate with lots of other researchers/data analysts."
Why do you want to attend this course?,2,"Introduction to R. Be able to switch to R when analysing data where R packages are available, especially graphical output"
Why do you want to attend this course?,2,Jeg håber at blive klar til grundige analyser af epidemiologisk data indhentet via surveys evt. krydset med registerdata
Why do you want to attend this course?,5,"Just starting the Ph.D., best time to start coding politely and in a reproducible manner!"
Why do you want to attend this course?,5,Learn about R since I have been told that it is more flexible compared to SPSS
