course_version,day,session,worked_well,could_be_improved
1,Day 2,Creating reproducible documents,"it was good, but a bit short",a bit faster
1,Day 2,Creating reproducible documents,Nice to code along.,could be nice to show how to make nice tables - maybe it is coming tomorrow?
1,Day 2,Creating reproducible documents,"It was the fun part for me, because we are able to see how can we actually use R for.",Give some examples of how to change colors.
1,Day 2,Creating reproducible documents,Again - same comments as above,Again - same comments as above
1,Day 2,Creating reproducible documents,Hands-on training,Maybe provide extra exercises if people are waiting for the group
1,Day 2,Creating reproducible documents,"Nice introduction to R Markdown, I hope it will be expanded tomorrow","Nothing really, I think it takes practice to get used to"
1,Day 2,Creating reproducible documents,We only started it today but it was fine so far.,"Instructions were clear and effective, but not much understanding of what was being done."
1,Day 2,Creating reproducible documents,Nothing worked! I was not able to knit to HTML due to computer problems,See previous answer
1,Day 2,Creating reproducible documents,Creating/setting up R markdown files,All is fine
1,Day 2,Creating reproducible documents,Really got to se the magic of R,I unfortunately have no ideas for improvement.
1,Day 2,Creating reproducible documents,the detailed notes were very helpful,it might be helpful to ask the students to do an excercise similar to the wrangling session
1,Day 2,Creating reproducible documents,That was fun :) as long as you can see your rewards (visible rewards :) ) you feel good!,None
1,Day 2,Creating reproducible documents,Using the tables 'we' made and seeing how we can apply them to our own writing etc,"More information on font changes, table formatting, and whether referencing softwares can be included"
1,Day 2,Creating reproducible documents,Good introduction to what a markdown file is and how to use it,Don't know
1,Day 2,Creating reproducible documents,"It was really neat to learn about creating word and html documents, which we are used to working with in other circumstances.","I think the session was fairly brief, but I understand you don't have time to show a lot."
1,Day 2,Creating reproducible documents,It was fun and helpful. I had a great time. R is amazing.,no comment.
1,Day 2,Creating reproducible documents,"I think it worked well. Too little time for R Markdown, but I think we will use more time tomorrow.",Maybe include a small walk (e.g. including some discussion points) in the afternoon of day 2.
1,Day 2,Creating reproducible documents,"I enjoyed learning about R markdown, it looks really exciting for data sharing.","I'm guessing we will learn more about Rmarkdown during the 3rd day, I felt that we just scrtched the surface of it today."
1,Day 2,Creating reproducible documents,"This section was great since we could get an overview about the importance to share our work with scientific and non-scientific community, giving us a wide understand about the importance of science for society.",I do not have additional comments for this section.
1,Day 2,Creating reproducible documents,Good session.,It was good.
2,Day 2,Creating reproducible documents,All good!,All good!
2,Day 2,Creating reproducible documents,It was good,I think all work well
2,Day 2,Creating reproducible documents,Everything,I don't know
2,Day 2,Creating reproducible documents,Comprehensive and great information on the web page,It is quite a jump to editing in a markdown document from being used to hyperlinks between different document sections in e.g. Word
2,Day 2,Creating reproducible documents,The instructions and the pace was good,NA
2,Day 2,Creating reproducible documents,now i know how people created R tutorial or documentation of an R package,is there perhaps a way to make a chart from the dataset and include it in Quarto document as an image? i think that would be useful
2,Day 2,Creating reproducible documents,Understanding how to make code understandable but also short using functions from packages.,I was happy with it :)
2,Day 2,Creating reproducible documents,I found it really good organised,Perhaps go a bit more into linking because this would be important for adding references to the document
2,Day 2,Creating reproducible documents,Nothing to add,Nothing to add
2,Day 2,Creating reproducible documents,Amazing to learn how to use Quarto. I did it with markdown previously but the layout here is way better!,We ran a bit out of time but overall it was really great since we covered the basis.
2,Day 2,Creating reproducible documents,The use of markdown,More exercises in order to do graphs and tables with biological datas.
2,Day 2,Creating reproducible documents,Exercises are pretty helpful and cover the whole topics also course documents are very explanatory.,The afternoon session was a bit faster probably todays schedule a bit crowded compared to Day 1 and I feel more tired. So I could not catch 100% things but probably it is on me.
2,Day 2,Creating reproducible documents,It was very interesting to learn how to use quarto and coding along was very useful too.,Everything worked well.
2,Day 2,Creating reproducible documents,we repeated many times push and pull on Git and GitHUb so I think that I will remember well,"If possible to spend more time practicing with Quarto, unless we will practice tomorrow"
2,Day 2,Creating reproducible documents,The explanation & theory was really well explained by the teachers.,"I think some elements of the Rmd/Quarto files should have been explained more - I helped multiple people who tried to visualize the figure using Ctrl+Enter, and in general the empty line needs of Markdown formatting weren't explained in the detail they perhaps should have been."
2,Day 2,Creating reproducible documents,"It was a very interesting topic, everything new and very useful. The explanation and the exercise worked well.",Nothing
2,Day 2,Creating reproducible documents,"Good balance between reading time, explanation and exercises",It would be nice to get into more details
2,Day 2,Creating reproducible documents,It was very interesting and informative.,"Again, maybe more things to do by yourself instead of in the big group?"
2,Day 2,Creating reproducible documents,Everything. It was a really good introduction to this topic,I believe everything was ok
2,Day 2,Creating reproducible documents,Very interesting and useful topic.,"A bit too much info considering 1st session was also info-heavy. Also slightly too frequent pauses to try the newly learned code, became a bit boring to wait for the next piece of info."
2,Day 2,Creating reproducible documents,no problem,"Higher tempo, maybe more focus on how to simplify connections between markdown and R scrips and other programs/data sources."
2,Day 2,Creating reproducible documents,Great to discover a tool as useful as Quarto/ R markdown.,"Overall it worked very well for me, I feel like I learned a lot, I don't see for now something specific to improve."
2,Day 2,Creating reproducible documents,good help,more time for this session
2,Day 2,Creating reproducible documents,Material was clear and following the coding was mainly very smooth.,I was happy with the session.
2,Day 2,Creating reproducible documents,"It is agood way to create documents. But, we the people who are using MS word or Latex for a long time, we need to see the benefits of using it.",The benefits over other popular document writing software may be discussed.
2,Day 2,Creating reproducible documents,"Very useful part, this is a very powerful tool! Thanks for introducing this!","Maybe more exercise, and encourage to finish without hints."
2,Day 2,Creating reproducible documents,Easy to follow instructions.,More time
2,Day 2,Creating reproducible documents,A lot of code along! Color stickies - very good system!,No complaints ; )
2,Day 2,Creating reproducible documents,"Personally, I have never used quarto and I found super useful to learn more about that.  I like that the material is super clear and easy to follow.",I would have like more time  and exercises to practice on my own. However I know a project for us to practice is on its way.
2,Day 2,Creating reproducible documents,Follow along worked well,"Ran short on timing, would have like a little more time to experiment with altering the writing"
2,Day 2,Creating reproducible documents,"This session was easier to follow. Maybe due to the ""just do strategy"" above. Or maybe because I am more used to working with documents than coding. Good with a break earlier in the afternoon than yesterday (-> not so tired at the end).",It is possible to explain even more what we are doing while working? I want to understand. :-)
2,Day 2,Creating reproducible documents,It was fun to produce something and easy to play around with markdown.,"It was a bit fast, but a link to the handbook will be useful for later"
2,Day 2,Creating reproducible documents,This session also worked very well.,"Maybe some more discussion on how to use the markdown files for projects. I understand that it can be very powerful, but it does not provide very nice documents. I would have liked to know how to (if it is possible to use it in combination with for example LaTeX."
2,Day 2,Creating reproducible documents,"Also in this section I appreciate the exercises, actual hands on doing the stuff taught.",Don't know.
2,Day 2,Creating reproducible documents,"Showing various possibilities of R markdown, including writing full text (which can help in writing manuscripts).",Everything worked well.
1,Day 2,Data management and wrangling,Everything,Nothing
1,Day 2,Data management and wrangling,We have lots of time to fulfill every exercise,x
1,Day 2,Data management and wrangling,easy to follow along,not much
1,Day 2,Data management and wrangling,"It was very clear how to use the code, and pipe operators were really great",That session went very slow for me. I think we could have gone faster.
1,Day 2,Data management and wrangling,Individual exercises,"More exercises, maybe on group-level, and less code along."
1,Day 2,Data management and wrangling,Exercises,Nothing specific
1,Day 2,Data management and wrangling,It was nice to start working with data,Went a bit slow
1,Day 2,Data management and wrangling,learned tons of hands on data,too much time for some and too little for other tasks
1,Day 2,Data management and wrangling,Code along,More breaks
1,Day 2,Data management and wrangling,The code-along sessions were very good,We could have sped up a little to finish the exercises
1,Day 2,Data management and wrangling,We had some data to work with.,?
1,Day 2,Data management and wrangling,Code-along is nice,Less time on 9.1
1,Day 2,Data management and wrangling,everything,nothing
1,Day 2,Data management and wrangling,"NIce, slow and clear code-along!",NA
1,Day 2,Data management and wrangling,It worked very well with coding along and trying it on a real data set. Everything was very concrete and I understood how R could be useful.,NA
1,Day 2,Data management and wrangling,That we worked on a real data set,?
1,Day 2,Data management and wrangling,Things are starting to fall into place. Doing code-along and then exercises works very well.,I do not have any suggestions.
1,Day 2,Data management and wrangling,"Getting to know how to alter/change your dataset, and make simple calculations. This worked well for all session: the stickies :)","The ungroup part made sense, but it still threw an ""error"". Learning how to add error-terms (SDs, CI95%) to the table would be nice"
1,Day 2,Data management and wrangling,Code-along was nice.,It's a bit too bad that you visually couldn't see the console output during the wrangling code-along. It's very nice to physically see that you added e.g. the log_height column.
1,Day 2,Data management and wrangling,It was nice to get some basic feeling of R-codes and to have focus on the basic Things to do before actually making dataanalysis/figures,"a bit more on why the coding is as it is, i.e. when do we have a function and what is arguments and how do the link to each other"
1,Day 2,Data management and wrangling,It was really good to code along. It could be nice to also get an example why it is ness for clean the data.,It is good - no comments
1,Day 2,Data management and wrangling,Getting help anytime you need,more Translating R language to our language
1,Day 2,Data management and wrangling,"Good introduction of all the basics stuff, and good expertise in the more advance pipelines",Don't have anything on the top of my head
1,Day 2,Data management and wrangling,It worked well with the examples on messy and tidy data sets. Really helpful with all renaming tasks etc. - the basics are soo good!,"It may be just me, but I was missing a bit more explanation on the pipe"
1,Day 2,Data management and wrangling,"Good introduction of all the basics stuff, and good expertise in the more advance pipelines",Don't have anything on the top of my head
1,Day 2,Data management and wrangling,The code-allong on using Rstudio,all good
1,Day 2,Data management and wrangling,codes worked,nothing specific
1,Day 2,Data management and wrangling,"hands-on, nice tasks, great instructors",More time to do hands-on. Shorter breaks
1,Day 2,Data management and wrangling,Nice to work with real data from a related field,it could be a bit faster
1,Day 2,Data management and wrangling,all options of data wrangling,more practise
1,Day 2,Data management and wrangling,all was great,all was great
1,Day 2,Data management and wrangling,it was good,all computers needs to work beforehand
1,Day 2,Data management and wrangling,Code along was good.,Could be nice to tidy a messy data set as exercise.
1,Day 2,Data management and wrangling,It is super usefull information and code that we will probably use in the future,It was a long time and a bit slow
1,Day 2,Data management and wrangling,The text explained the function very well.,Try to not only made one-way-communication for learning. Some could be done in groups etc. Include some small energiser etc.
1,Day 2,Data management and wrangling,"Hands-on training, trying out different functions",Maybe provide extra exercises if people are waiting for the group
1,Day 2,Data management and wrangling,It was nice structured with the possibility to code along and have a basic understanding of piping and basic dplyr functions,"It is always difficult with different prerequisites, but I could use more (and a little more complex) exercises"
1,Day 2,Data management and wrangling,Proposed work plan was logically organized.,Better speaker preparation. Better time management. The most challenging part of the session was compromised because of speaker's poor management of the session. Learning was compromised.
1,Day 2,Data management and wrangling,The ode-along was very nice and comprehensible,I missed a code to cross check the new variables and the restrictions that were made along the way (e.g. like codebook in Stata)
1,Day 2,Data management and wrangling,Learning about Git and Github,More time specified for this part may improve it more.
1,Day 2,Data management and wrangling,"I love code-along. Good pace so that you can keep up when you first start to get familiar with R. Really liked the use of real data, to better understand.",I unfortunately have no ideas for improvement.
1,Day 2,Data management and wrangling,the detailed notes and the  work along session was very helpful to grasp the topic.,there probably isn't time for it but perhaps more excercises will help to commit the method to memory
1,Day 2,Data management and wrangling,All coding sessions went pretty well and I enjoyed all day :),"I would like to recommend to include some time to show how to import our own data sets. Most of the day we were working on an available dataset (I assume ""nhanes"") which might be better if we could learn how to import for example an Excel or csv datafile"
1,Day 2,Data management and wrangling,"Slow explanation of what each function does, how you can use them, and the process of saving the files etc",Potentially include common mistakes and pitfalls when managing big data?
1,Day 2,Data management and wrangling,really nice with the code along to learn some of the basic data wrangling,Don't know
1,Day 2,Data management and wrangling,It was really nice to start learning and playing around with some basic coding in R,I think the practical application of each step could be described a bit better. E.g. in what situations would each step be applicable
1,Day 2,Data management and wrangling,It was very helpful to go through the text and do code-along. I enjoyed it and learned alot.,There is too much noise when the helpers try to help people. distracting.
1,Day 2,Data management and wrangling,"Code along, introduction to basic codes, nice that we have to use parts of what we learned yesterday",?
1,Day 2,Data management and wrangling,"I found this session useful, we learned many different actions from dplyr to manage and edit our data, which I personally think is very important, as every package or script you find online will ask you to have your data formatted in a certain way.",No comments from my side
1,Day 2,Data management and wrangling,This section worked very well since I could understand and reinforce the topics that I learned in the day before.,A lot of new things to learn in a short period of time. Maybe more time dedicated for this section should work better at least for me.
1,Day 2,Data management and wrangling,It was a good session overall.,"Not sure if it could have been added to this part of the course, but while mentioning about the data/tables/table names, it could have been ideal to openly mention what is ethically correct to call the variables. There are many papers still using ""gender"", ""caucasian"", presenting % of males only etc. and it is so commonly used that junior researcher think this is the correct way to do it, and often times senior researcher are not even aware."
2,Day 2,Data management and wrangling,All good!,All good!
2,Day 2,Data management and wrangling,It was good and clear,"I think it was a bit slow but good, maybe a bit more excersise"
2,Day 2,Data management and wrangling,Everything,I don't know
2,Day 2,Data management and wrangling,Informative and comprehensive,–
2,Day 2,Data management and wrangling,The instructions and the pace was good,NA
2,Day 2,Data management and wrangling,"clear instructions and useful functions, thanks","i need to confess that i didnt update my R during pre-course task because it was written that 4.1.2 was enough in the pre-course tasks (sorry!). but apparently NHANES needs more updated R version, so i had to uninstall the old R and reinstall the updated R (and the R packages) during the course. so perhaps the pre-course tasks should require the most updated version of R."
2,Day 2,Data management and wrangling,Practicing with actual data,I was happy with it :)
2,Day 2,Data management and wrangling,It was well organised,"Going through the functions was a bit quick or I need more practise, but I had some help and then it all worked out well"
2,Day 2,Data management and wrangling,Everything worked smoothly. A lot of time for the coding/writing,Everything worked fine
2,Day 2,Data management and wrangling,Really enjoyed learning about piping and nesting functions in pipes! Was well explained and the small exercises helped understand the concept.,We could have seen a bit more how to make operations on data to prepare data for figures for instance.
2,Day 2,Data management and wrangling,Everything went perfectly fine.,Nothing.
2,Day 2,Data management and wrangling,Exercises are pretty helpful and covering the whole topics.,It was pretty straight-forward and I have no further suggestions.
2,Day 2,Data management and wrangling,"It was a very good practice to ""code along"" and now how to edit tables.","we could maybe have a different type of data which is harder to understand. For example, not a metadata table but a table with counts of genes which can be more difficult to understand."
2,Day 2,Data management and wrangling,wrangling the data was quite useful,Maybe devoting more time to practice on Quarto
2,Day 2,Data management and wrangling,It was very strightforward & easy to follow,"There were places where the teachers deviated from the code in the R-cubed site we have access to, which led to momentary confusion - not a big deal, though!"
2,Day 2,Data management and wrangling,Explanation and the code along,Nothing
2,Day 2,Data management and wrangling,"Good balance between reading time, explanation and exercises",use a smaller dataset
2,Day 2,Data management and wrangling,"It was good to type things together, but also to have some exercises to do by yourself.",Maybe even more exercises to do by yourself?
2,Day 2,Data management and wrangling,It was great to use a real data set to practice,I think it was good overall
2,Day 2,Data management and wrangling,A good amount of coding theory and practice for data arrangement.,NA
2,Day 2,Data management and wrangling,no problem,"Higher tempo, some more focus on how to do some stuff in practice (eg. connecting to open data, data repositories etc)"
2,Day 2,Data management and wrangling,"It was work to learn some directly applicable knowledges and I think it was presented in a ver understandable and interesting way. As yesterday, the coding along process work very well.","Overall it worked very well for me, I feel like I learned a lot, I don't see for now something specific to improve."
2,Day 2,Data management and wrangling,Good support,good
2,Day 2,Data management and wrangling,Material was clear and following the coding was mainly very smooth.,Time for some of the excercises and reading tasks was a bit tight at times but everything was still doable.
2,Day 2,Data management and wrangling,“Messy” vs. “tidy” data is a significant input.,"Please go a little bit slow as we need to listen to you, look on the board and type the same in our computer. A 10 second pause would be helpful in between."
2,Day 2,Data management and wrangling,"Clear explanation to often-used functions, good examples and appropriate exercises.",Some easy code can be read by students themself
2,Day 2,Data management and wrangling,It was easy to follow exercise instructions. Good with solutions.,"I find it hard working on laptop only, it is really bad for vision and physical work position and overview of tasks/windows/programs. Personally i would prefer using bigger screens and keyboards (Computer rooms if that even exists now??)."
2,Day 2,Data management and wrangling,A lot of code along! Color stickies - very good system!,"I was a little confused when we filtered columns and renamed them, and then we didn't see the changes because they were not saved as a new factor/dataset. Maybe I missed it but it could be nice to have this indicated somewhere."
2,Day 2,Data management and wrangling,I found the whole session very interesting and helpful. I specially like learning about the pipe operator since it really makes code more understandable.,I would have liked to learn more wrangling functions. Probably common mistakes when using this functions can be also interesting to watch.
2,Day 2,Data management and wrangling,The worked examples and pacing was excellent. These were the key skills I was hoping to work on in the course and I am very pleased with it.,I was very happy with how it was honestly
2,Day 2,Data management and wrangling,Structured set up.,"I found it a bit hard to understand what I was while coding together. If I started to think things through, I couldn´t keep up with the tempo. So I decided to just ""do"" as I was told. I am a complete beginner when it comes to R though."
2,Day 2,Data management and wrangling,It was good to have a quick overview of useful functions when manipulating dataset,It was more difficult when the object is modified or not by these functions
2,Day 2,Data management and wrangling,The whole session worked very well,"This is not specifically for this session, but it might have been good to stress that all commands have a help documentation in R if you want to read up on it more."
2,Day 2,Data management and wrangling,Exercises on teaching data set was good (to actually type code yourself),"Maybe several levels of actually typing code? In the exercises today very much of the code was already written (just filling in missing parts). That's very good to begin with, but maybe I would have learnt even more from a level 2 exercise where I would have needed to provide more code myself. (I do realize time is a limiting factor.)"
2,Day 2,Data management and wrangling,"Well explained tasks, step by step.",Difficult to say.
1,Day 2,Data visualization,"The code along went so well, the pace was good.","I think the session was so clear, nicely paced."
1,Day 2,Data visualization,very useful,all good
1,Day 2,Data visualization,I think this was the most fun part where we can actually plot everything,Everything worked fine
1,Day 2,Data visualization,easy to follow,maybe a vew too many examples that used the same/very similar code
1,Day 2,Data visualization,Code-along works really well.,NA
1,Day 2,Data visualization,it was very helpfull to show different ways to plot,Again more homework to do after the course with answers would be good
1,Day 2,Data visualization,Coding along / Tasks on our own,More tasks on our own
1,Day 2,Data visualization,"it was some very useful functions, and I can definitely see myself using these!",NA
1,Day 2,Data visualization,It was interesting to see some of the different plots I wouldn't usually be exposed to.,"I don't think we needed to spend hours and hours on plots with colour schemes; I would have preferred to use this time to understand some of the ways to use R in practice (e.g., I'm still unclear on what here::here even means)."
1,Day 2,Data visualization,hands on is fine - some could go into a short presentation,"to many example that looked likes each other. Would prefer to learn more options instead, for instance category1=color1, category2=color2 instead of several data schemes"
1,Day 2,Data visualization,This was awesome! Really nice figures. I will be using R for figures for sure!,I would have liked some more introduction on how to best search for help online. Like a troubleshooting session on how to fix issues on your own.
1,Day 2,Data visualization,"The headlines over every step to make it easy ""to go bak""",NA
1,Day 2,Data visualization,It worked good with the different plots,We could have made one plot where we needed to change more things .
1,Day 2,Data visualization,Eeverything,NA
1,Day 2,Data visualization,I really liked the code-along session. Hands-on exercises were so beneficial.,I would like to learn how to add SE/SEM bars etc. but this is a minor suggestion. I think the session was incredibly informative and beneficial
1,Day 2,Data visualization,It worked well to draw the different types of plots,even thought it is much the same
1,Day 2,Data visualization,The examples are interesting and helpful.,"If there are more practice, it will be helpful."
1,Day 2,Data visualization,"I loved the figures, were so colorful.",Please slow down as I could not understand the logic behind the coding process.
1,Day 2,Data visualization,The different kinds of plots and their uses were explained well.,More live exercises might be helpful.
1,Day 2,Data visualization,code-along,Maybe too much coding in a row without exercise
1,Day 2,Data visualization,to create all the graphs along the session,"I would have liked to know a bit more about the different functions, what exactly they do, sometimes their names sound a bit strange"
1,Day 2,Data visualization,"It was very nice to see what options are out there and how to plot and visualize different data types, since I haven't worked with R before and had no idea what options are out there.","For me specifically, it would also great to have a session on data modelling and curve fitting (i.e. dose-response), but I don't know for how many people that would actually be relevant, so I understand if that is too specific."
1,Day 2,Data visualization,very good,More coding
1,Day 2,lecture presentations,Nice perspectives,a bit long
1,Day 2,lecture presentations,nice struture,nothing specific
1,Day 2,lecture presentations,"Questions, interactive.",Nothing
1,Day 2,lecture presentations,good,a bit more interaction
1,Day 2,lecture presentations,group discussion,nothing
1,Day 2,lecture presentations,perfect,nothing special
1,Day 2,lecture presentations,Standing up,???
1,Day 2,lecture presentations,Good to stand up and do some thinking,Nothing
1,Day 2,lecture presentations,Good way of changing the pace and cleaning our mind a bit.,Maybe add some practical examples.
1,Day 2,lecture presentations,Not relevant,not relevant
1,Day 2,lecture presentations,Standing during the lecture,Maybe give a bit more time to discuss ideas after exercises
1,Day 2,lecture presentations,*,*
1,Day 2,lecture presentations,Dynamics,We were too tired to enjoy it.
1,Day 2,lecture presentations,It works very well when we stand up. It makes the presentation more lively and the audience more engaged,NA
1,Day 2,lecture presentations,Group discussion,improved
1,Day 2,lecture presentations,"Really liked getting perspectives on something we often don't question in our daily life, but we really need ti.",I unfortunately have no ideas for improvement.
1,Day 2,lecture presentations,The interactive approach was very valuable,I am happy with how the lectures were spread out.
1,Day 2,lecture presentations,I enjoyed all the presentation sessions.,It would be nice if time to time you encourage participants to do a physical activity such as standing up and have a 2-3 minutes short discussion about the relevant topics.
1,Day 2,lecture presentations,The interactive style and that it was a two-way street,"Ironically, being able to see the slides would have been nice to follow and read some of the points and words being made"
1,Day 2,lecture presentations,"Nice with the informal setting with  standing, also to change position from sitting all day",More discussions potentially
1,Day 2,lecture presentations,"Very clear, step by step presentations",Maybe show some examples of things created in R and R markdown?
1,Day 2,lecture presentations,I loved the fact that we are called out to move around in the room. stand up in the group and take part in the discussions. Luke's passion is contagious!,"The slides might a go a bit fast, so I don't get the time to read the. But Luke is very good at explaining and presenting, so I don't feel like missing out on anything :)"
1,Day 2,lecture presentations,Reflections on our own practice. Nice that we could stand up for a while.,?
1,Day 2,lecture presentations,"It was really inspiring, I enjoyed the lecture","No comments, it was a great talk"
1,Day 2,lecture presentations,This section worked very well for me but I would like to have more time dedicated for this section.,I think that real examples of how R Markdown could be used in order to illustrate better the functionalities.
1,Day 2,lecture presentations,"Really important aspects of major academic problems were mentioned, it was great to think about the reality and practically and discuss what to do. These are the things usually are not discussed but quite fundamental.",Maybe some real life examples.
1,Day 2,Version control and collaborative practices,"I loved to see that there is a track of everything done, and I would like to implement that when I use R. It was really nice to see how you work locally and remotely.",I think the session was so clear.
1,Day 2,Version control and collaborative practices,all good,all good
1,Day 2,Version control and collaborative practices,All worked well,NA
1,Day 2,Version control and collaborative practices,reading through the sections step by step,Maybe it could have been integrated into the group work a bit more smoothly
1,Day 2,Version control and collaborative practices,Code-along works really well. Good help from helpers.,Maybe a few more minor breaks
1,Day 2,Version control and collaborative practices,It worked well the helpers and the explanations,It is a lot to process and it would be a good idea to prepare extra task to do after the course
1,Day 2,Version control and collaborative practices,Good overview trough slides,Some groupwork / discussion in plenum
1,Day 2,Version control and collaborative practices,"The message why git and GitHub are a really great idea to use came through, but it was very tricky to follow, since its a very different way to think. I also think the code along sessions about git/github went a little too fast - at least for me:-)",slower pace with the explanations and code-alongs:-)
1,Day 2,Version control and collaborative practices,"It was useful to stop and practice linking a new project to a repository, then pushing/pulling.","I don't think we needed as much time as we did spent on ""what collaboration is"" (as lots of us are already in collaborations). I'd rather have spent more time getting clear on what push/pull means in practice, and I feel that we rushed through things like branching/merging. I'm not sure how all of the different processes relate to each other."
1,Day 2,Version control and collaborative practices,Very good lecture and good hands on.,"tell what you would normally do - in what order would you do it. create project, github rep. etc."
1,Day 2,Version control and collaborative practices,Nice to have a formal intro to git and github - i was convinced of the benefits!,"Perhaps more hands on practice with it, but i guess time is the big limitation.."
1,Day 2,Version control and collaborative practices,That we tried over and over again,Slowing the tempo down a bit
1,Day 2,Version control and collaborative practices,It worked really well,We could maybe have been a bit more time
1,Day 2,Version control and collaborative practices,Everything,More explanation
1,Day 2,Version control and collaborative practices,I had a look before to Git and GitHub before but could not figure out. Practicing with exercises helped a lot to understand the concept and also learn how to use.,I would like to learn how to track version changes within the documents (.doc files etc) besides R scripts.
1,Day 2,Version control and collaborative practices,nice introduction to the subject,"maybe it would be easier to understand what the purpose of git and github is, if a real life example was included."
1,Day 2,Version control and collaborative practices,The examples are helpful.,"It went a little fast, and there are two projects (Learning R and Practice Repo), somehow I have problems to shift between the project files and open the right files. So it might be easier to focus on one project."
1,Day 2,Version control and collaborative practices,It was good,"Add more illustrations, videos, cartoons, ...... so we can follow the instructions."
1,Day 2,Version control and collaborative practices,The concept was explained very nicely.,Nothing I can think of now.
1,Day 2,Version control and collaborative practices,hands-on,"maybe a video showing the concept, how to do stuff"
1,Day 2,Version control and collaborative practices,"clear and simple read in the course website about what are the advantages in using a program like Git for collaborative work, but also how useful it is for individual work. to follow along the instructions helps remembering what to do another time","maybe a bit more practice with collaborative projects, to understand how to interact with other users of the same repositorium"
1,Day 2,Version control and collaborative practices,"It was great to know that there are dedicated programs for version control out there, since I haven't used Git before.",having the session in an outdoor whirlpool ;) it would also be great to know how to use version control for other data types (e.g. word documents)
1,Day 2,Version control and collaborative practices,very well,more coding along_ handson
1,Day 3,Creating reproducible documents,"I liked the session in general. Is a lot of knowledge to digest but the way that it was kept simple, helped to go through it.","I think time was very well use but I would add maybe 30 min more for group work, in the end where the knowledge seems more applicable, specially after R Markdown"
1,Day 3,Creating reproducible documents,Great lecture. Nice to learn about how to use R-markdown.,NA
1,Day 3,Creating reproducible documents,I really liked the idea of R Markdown (like a lot of others).,"I would have preferred less time on things like bold/italics etc. (as I could read these in a separate resource file) and would have preferred to spend more time on how to setup the file (i.e., how much to link in source code/datasets/script/package loading)."
1,Day 3,Creating reproducible documents,good,good
1,Day 3,Creating reproducible documents,Great to play with the figures and clean data,More time to work with the group assessments
1,Day 3,Creating reproducible documents,I liked to discover there is the Markdown file that helps having the process and outcomes organized.,Maybe this could have been done at the beginning so we could start the project in that set up.
1,Day 3,Creating reproducible documents,All the steps and materials to follow where written clearly,Pre-Course reading materials
1,Day 3,Creating reproducible documents,almost everything,"may be, you could get input from participants on how to walk the talk."
1,Day 3,Creating reproducible documents,It worked well on project based level.,"If time allows, we could work on a short manuscript, to demonstrate how it works and show its advantage compared to the traditional way."
1,Day 3,Creating reproducible documents,It was well organized and well explained.,More time on exercise section might be helpful.
1,Day 3,Creating reproducible documents,lecture was pretty nice,More time for figure stuff out  could be very benefical
1,Day 3,Creating reproducible documents,"It was easy to understand why the R.markdown is a smart feature. It was also in this session that it really made sense to me why the GitHub is cool. The exercise part was really important to learn how to do this on our own, and it made more sense to me in practice, compared to when we went through it in the lecture.",a little more time for the exercise would be good
1,Day 3,Creating reproducible documents,"The creation of the Markdown file, which gives the full view in one file/document",If  we had been prepared for the challenges with our project in the Markdown folder
1,Day 3,Creating reproducible documents,"The exercises on our own and in the group, The help from the teachers.",Nothing to declare
1,Day 3,Creating reproducible documents,"Nice to learn Rmarkdown, code-along and group work with different tasks and combining them results in a joint manuscript","Create the joint manuscript earlier, and lean GIt a little earlier, so that we could push our fidings every time we learned something new, instead of creating the manuscript at the end.I would have liked to learn more about how to download, load, read the dataset we find (in different formats, so we are prepared for future datasets)"
1,Day 3,Creating reproducible documents,"It worked well with the code along. The time for it was sufficient. Nice to have specific code for headings, bold text etc.",We could have used a bit more time for the group work
1,Day 3,Creating reproducible documents,Very nice section - easy,Could have come in earlier - think it will save some work if we could start the report earlier.
1,Day 3,Creating reproducible documents,"It was very nice to learn how to collaborate over Git by hands-on sessions, struggling was the best way to get it better. And at the end, having a final document with structure was so motivating and encouraging.",I would like to have more time to play a bit more with the data and final report  but it is not so important.
1,Day 3,Creating reproducible documents,"The initial lecture, short but setting the case why reproducible research is necessary. good examples of innovative research documents. Learning by doing the R markdown files, all the exercise parts.","it ended up being a bit too fast and therefore we did not learn all the possible adds to the R markdown. It could also have been fun to see examples of how other people are using the R markdown, besides the course website."
1,Day 3,Data visualization,learned lots about plottings,nothing
1,Day 3,Data visualization,Everything,Nothing
1,Day 3,Data visualization,code-along,Worked well
1,Day 3,Data visualization,everything,nothing
1,Day 3,Data visualization,There was time to look into the figures.,x
1,Day 3,Data visualization,Code along and exercises,Nothing
1,Day 3,Data visualization,Data visualization with coding along was great!!!,Learning how to changed name of columns e.g. diabetes yes no
1,Day 3,Data visualization,Covered a lot of graphs and how and when to make them. I like how it was organized,"I think we need more resources for how to customize graphs. Maybe an ""optional"" thing with a few key ways to modify graphs? Because otherwise I feel it is hard to convince people to move from something like Prism."
1,Day 3,Data visualization,It provides with a great overall skill in data visualization.,"Get to know how choose specific colors, fond and the design of figure"
1,Day 3,Data visualization,"Super cool. It was nice to see the feature, and the possibilities.",It was just perfect. The pace and details were appropiate
1,Day 3,Data visualization,very pretty graphs,"it sometimes went a little fast and then the screen moved to the image, so we couldnt see the code"
1,Day 3,Data visualization,Individual assignments,Maybe do a little less repitition - many of the graphs in the code along was very similar.
1,Day 3,Data visualization,Hands-on was great! All of it was nice,Nothing specific
